source,source_full_name
AB,Arab Satellite Communications Organization
ABS,Asia Broadcast Satellite
AC,Asia Satellite Telecommunications Company (ASIASAT)
ALG,Algeria
ARGN,Argentina
ASRA,Austria
AUS,Australia
AZER,Azerbaijan
BEL,Belgium
BELA,Belarus
BERM,Bermuda
BOL,Bolivia
BRAZ,Brazil
CA,Canada
CHBZ,China/Brazil
CHLE,Chile
CIS,Commonwealth of Independent States (former USSR)
COL,Colombia
CZCH,Czech Republic (former Czechoslovakia)
DEN,Denmark
ECU,Ecuador
EGYP,Egypt
ESA,European Space Agency
ESRO,European Space Research Organization
EST,Estonia
EUME,European Organization for theExploitation of Meteorological Satellites (EUMETSAT)
EUTE,European TelecommunicationsSatellite Organization (EUTELSAT)
FGER,France/Germany
FR,France
FRIT,France/Italy
GER,Germany
GLOB,Globalstar
GREC,Greece
HUN,Hungary
IM,International Mobile Satellite Organization (INMARSAT)
IND,India
INDO,Indonesia
IRAN,Iran
IRAQ,Iraq
IRID,Iridium
ISRA,Israel
ISRO,Indian Space Research Organisation
ISS,International Space Station
IT,Italy
ITSO,International TelecommunicationsSatellite Organization (INTELSAT)
JPN,Japan
KAZ,Kazakhstan
LAOS,Laos
LTU,Lithuania
LUXE,Luxembourg
MALA,Malaysia
MEX,Mexico
NATO,North Atlantic Treaty Organization
NETH,Netherlands
NICO,New ICO
NIG,Nigeria
NKOR,Democratic People's Republic of Korea
NOR,Norway
O3B,O3b Networks
ORB,ORBCOMM
PAKI,Pakistan
PERU,Peru
POL,Poland
POR,Portugal
PRC,People's Republic of China
PRES,People's Republic of China/European Space Agency
RASC,RascomStar-QAF
ROC,Taiwan (Republic of China)
ROM,Romania
RP,Philippines (Republic of the Philippines)
SAFR,South Africa
SAUD,Saudi Arabia
SEAL,Sea Launch
SES,SES
SING,Singapore
SKOR,Republic of Korea
SPN,Spain
STCT,Singapore/Taiwan
SWED,Sweden
SWTZ,Switzerland
THAI,Thailand
TMMC,Turkmenistan/Monaco
TURK,Turkey
UAE,United Arab Emirates
UK,United Kingdom
UKR,Ukraine
URY,Uruguay
US,United States
USBZ,United States/Brazil
VENZ,Venezuela
VTNM,Vietnam
